,信用利差：国债端,信用利差：信用债端,期限利差：中短期债端,期限利差：中长期债端,汇率：美元指数,利率水平：国债指数,经济增长：构成1,经济增长：构成2,经济增长：构成3,经济增长：构成4,经济增长：构成5,消费端通胀,生产端通胀：构成1,生产端通胀：构成2,资本市场流动性：大盘PE,资本市场流动性：小盘PE,市场恐慌程度：VIX指数,美国实际利率
2019-11-01,219.4288,182.1567,185.5565,200.9292,97.217,117.4334,27100.76,723.66,437.36,3713.9092,4630.81,52.4,60.72,389.75,13.42,24.37,12.3,0.14
2019-11-04,219.5356,182.048,185.4998,200.5916,97.5396,117.3084,27547.3,726.14,437.62,3708.0778,4628.07,51.86,,390.51,13.51,24.53,12.83,0.15
2019-11-05,219.5563,182.2436,185.7314,201.7965,97.9141,117.5722,27683.4,730.18,438.64,3724.6177,4652.66,51.27,63.0,390.65,13.6,24.63,13.1,0.18
2019-11-06,219.6612,182.2544,185.841,201.8939,97.9644,117.5848,27688.64,725.84,437.57,3720.366,4607.98,51.36,63.15,388.86,13.53,24.4,12.62,0.15
2019-11-07,219.7475,182.1976,185.8377,201.3923,98.1317,117.5038,27847.23,746.12,442.6,3716.5891,4626.64,51.14,62.32,390.98,13.56,24.53,12.73,0.23
2019-11-08,219.7703,182.2024,185.8385,201.3343,98.3919,117.4779,27651.14,742.87,441.23,3723.6683,4599.66,51.18,61.57,390.72,13.51,24.47,12.07,0.23
2019-11-11,219.9165,182.3311,186.0175,201.7927,98.216,117.5733,26926.55,,,3710.2965,4492.73,49.61,62.63,,13.28,23.82,12.69,
2019-11-12,220.0002,182.2765,186.051,201.8915,98.3494,117.5927,27065.28,739.47,441.51,3718.1623,4499.56,49.51,62.75,391.86,13.28,23.86,12.68,0.22
2019-11-13,220.0779,182.3297,186.1227,202.3175,98.3384,117.6597,26571.46,732.6,439.62,3699.2844,4464.44,49.02,62.44,390.47,13.28,23.77,13.0,0.22
2019-11-14,220.1323,182.3156,186.1448,201.9382,98.1554,117.5675,26323.69,732.22,439.56,3699.2844,4470.74,48.56,63.02,390.97,13.29,23.94,13.05,0.2
2019-11-15,220.1593,182.3868,186.2527,202.5601,98.0039,117.679,26326.66,730.31,439.43,3691.4186,4441.22,48.13,62.65,390.76,13.2,23.7,12.05,0.21
2019-11-18,220.3289,182.6379,186.5942,203.7315,97.8205,117.9426,26681.09,726.55,437.46,3695.3515,4464.76,45.31,62.77,388.91,13.29,23.84,12.46,0.18
2019-11-19,220.4154,182.7623,186.8235,204.5772,97.8413,118.1427,27093.8,722.03,436.4,3688.2722,4533.44,44.7,61.54,388.81,13.39,24.29,12.86,0.16
2019-11-20,220.5145,182.8482,186.9001,204.5027,97.9062,118.147,26889.61,721.95,435.78,3700.8575,4502.95,44.14,61.79,387.99,13.26,24.16,12.78,0.13
2019-11-21,220.6612,182.9745,186.9689,204.9332,97.9869,118.2403,26466.88,722.14,435.71,3705.577,4498.17,43.7,63.51,387.6,13.19,24.16,13.13,0.14
2019-11-22,220.7255,182.9864,187.0069,205.0454,98.2837,118.2558,26595.08,722.35,436.27,3686.6991,4495.8,43.78,63.91,387.47,13.06,23.87,12.34,0.15
