因子,ICIR_回测前,是否在基线有效因子,corr0.7去重后保留
A06,0.2162769093717907,True,True
B03,0.1761212718297417,True,True
M03,0.1536056479120744,True,True
D01,0.1442130279742557,True,True
K04,-0.124768318575452,True,True
K02,-0.1482277850757928,True,True
D04,-0.1653151049546783,True,True
M01,-0.1843523713188624,True,True
B01,-0.1946018271366726,True,True
B06,-0.2056611995004728,True,True
T01,-0.2499857904064972,True,True
C03,-0.4285633024553595,True,True
B05,0.1689171637438193,True,False
A02,0.1626401464388444,True,False
A01,0.1600898487096498,True,False
N01,0.1561292553177436,True,False
D02,0.153149924481802,True,False
A05,0.1400831414850418,True,False
